Muscle,Exercise,Reps
Chest  (Pectoralis major),Push-Ups,  10-20 reps
Shoulders  (Deltoids),Push-Ups,  10-20 reps
Triceps,Push-Ups,  10-20 reps
Back  (Latissimusdorsi),Push-Ups,  10-20 reps
Biceps,Push-Ups,  10-20 reps
Shoulders  (Deltoids),Push-Ups,  10-20 reps
Quadriceps,Squats,  8-12 reps
Glutes,Squats,  8-12 reps
Hamstrings,Squats,  8-12 reps
Lower Back  (Erectorspinae),Deadlifts,  5-8 reps
Glutes,Deadlifts,  5-8 reps
Hamstrings,Deadlifts,  5-8 reps
Chest (Pectoralismajor),Bench Press,  8-12 reps
Shoulders (Deltoids),Bench Press,  8-12 reps
Triceps,Bench Press,  8-12 reps
Back (Rhomboids Trapezius),Rows (Barbell  Dumbbell  or Cable),  8-12 reps
Biceps,Rows (Barbell  Dumbbell  or Cable),  8-12 reps
Forearms,Rows (Barbell  Dumbbell  or Cable),  8-12 reps
Shoulders (Deltoids),Shoulder Press (Barbell or Dumbbell),  8-12 reps
Triceps,Shoulder Press (Barbell or Dumbbell),  8-12 reps
Quadriceps,Lunges,  10-12 reps per leg
Glutes,Lunges,  10-12 reps per leg
Hamstrings,Lunges,  10-12 reps per leg
Abdominals,Crunches,  15-20 reps
Quadriceps,Leg Press,  10-15 reps
Glutes,Leg Press,  10-15 reps
Hamstrings,Leg Press,  10-15 reps
Calves (Gastrocnemius Soleus),Calf Raises,  12-15 reps
Core (Abdominals Lower Back),Plank, Hold for 30 seconds to 1 minute  repeat for 3 sets
Biceps,Bicep Curls (Barbell or Dumbbell),  8-12 reps
Forearms,Bicep Curls (Barbell or Dumbbell),  8-12 reps
Triceps,Tricep Dips,  8-12 reps
Shoulders (Deltoids),Tricep Dips,  8-12 reps
Obliques,Russian Twists,  12-15 reps per side
Abdominals,Russian Twists,  12-15 reps per side
Hamstrings,Romanian Deadlifts,  8-12 reps
Glutes,Romanian Deadlifts,  8-12 reps
LowerBack,Romanian Deadlifts,  8-12 reps
Back (Latissimusdorsi),Lat Pulldowns,  8-12 reps
Biceps,Lat Pulldowns,  8-12 reps
Shoulders (Deltoids),Lat Pulldowns,  8-12 reps
Hamstrings,Hamstring Curls (Machine or Stability Ball),  10-15 reps
Chest (Pectoralimajor),Dumbbell Flyes,  10-15 reps
Shoulders (Deltoids),Dumbbell Shoulder Lateral Raises,  10-15 reps
Glutes,Barbell Hip Thrusts,  8-12 reps
Hamstrings,Barbell Hip Thrusts,  8-12 reps
Glutes,Russian Kettlebell Swings,  15-20 reps
Hamstrings,Russian Kettlebell Swings,  15-20 reps
LowerBack,Russian Kettlebell Swings,  15-20 reps
Shoulders,Russian Kettlebell Swings,  15-20 reps
Triceps,Tricep Pushdowns (Cable Machine),  10-15 reps
LowerAbs,Leg Raises,  12-15 reps
HipFlexors,Leg Raises,  12-15 reps
Back (Rhomboids Trapezius),Barbell Bent-Over Rows,  8-12 reps
Biceps,Barbell Bent-Over Rows,  8-12 reps
Forearms,Barbell Bent-Over Rows,  8-12 reps
Quadriceps,Step-Ups,  10-12 reps per leg
Glutes,Step-Ups,  10-12 reps per leg
Hamstrings,Step-Ups,  10-12 reps per leg
Back (Rhomboids Trapezius),Seated Cable Rows,  8-12 reps
Biceps,Seated Cable Rows,  8-12 reps
Quadriceps,Reverse Lunges,  10-12 reps per leg
Glutes,Reverse Lunges,  10-12 reps per leg
Hamstrings,Reverse Lunges,  10-12 reps per leg
LowerAbs,Hanging Leg Raises,  10-15 reps
HipFlexors,Hanging Leg Raises,  10-15 reps
Chest (Pectoralismajor),Push-Up Variations (Diamond  Wide  Decline  etc.),  8-15 reps
Shoulders (Deltoids),Push-Up Variations (Diamond  Wide  Decline  etc.),  8-15 reps
Triceps,Push-Up Variations (Diamond  Wide  Decline  etc.),  8-15 reps
Quadriceps,Front Squats,  6-10 reps
Glutes,Front Squats,  6-10 reps
Hamstrings,Front Squats,  6-10 reps
Core,Front Squats,  6-10 reps
Quadriceps,Bulgarian Split Squats,  8-12 reps per leg
Glutes,Bulgarian Split Squats,  8-12 reps per leg
Hamstrings,Bulgarian Split Squats,  8-12 reps per leg
Core,Bulgarian Split Squats,  8-12 reps per leg
Upper,Incline Bench Press,  8-12 reps
Chest (Clavicularportion of Pectoralis major),Incline Bench Press,  8-12 reps
Shoulders,Incline Bench Press,  8-12 reps
Triceps,Incline Bench Press,  8-12 reps
Chest (Pectoralis major),Chest Dips,  8-12 reps
Shoulders,Chest Dips,  8-12 reps
Triceps,Chest Dips,  8-12 reps
Chest (Pectoralis major),Dumbbell Pullover,  10-15 reps
Lats,Dumbbell Pullover,  10-15 reps
Triceps,Dumbbell Pullover,  10-15 reps
Shoulders,Dumbbell Pullover,  10-15 reps
Abdominals,Cable Crunches,  12-15 reps
Core,Cable Crunches,  12-15 reps
RearDelts,Reverse Flyes,  10-15 reps
Upper Back (Rhomboids),Reverse Flyes,  10-15 reps
Calves (Gastrocnemius Soleus),Barbell Calf Raises,  12-15 reps
Quadriceps,Seated Leg Press,  10-15 reps
Glutes,Seated Leg Press,  10-15 reps
Hamstrings,Seated Leg Press,  10-15 reps
Triceps,Overhead Tricep Extensions,  10-15 reps
Shoulders,Overhead Tricep Extensions,  10-15 reps
Calves (Gastrocnemius Soleus),Standing Calf Raises,  12-15 reps
Quadriceps,Leg Extensions,  10-15 reps
LowerChest (Sternalportion of Pectoralis major),Decline Bench Press,  8-12 reps
Shoulders,Decline Bench Press,  8-12 reps
Triceps,Decline Bench Press,  8-12 reps
HipAbductors,Lateral Leg Raises,  12-15 reps per leg
Obliques,Hanging Leg Raises with Twist,  10-15 reps
LowerAbs,Hanging Leg Raises with Twist,  10-15 reps
HipFlexors,Hanging Leg Raises with Twist,  10-15 reps
Obliques,Russian Ball Twists,  15-20 reps per side
Abdominals,Russian Ball Twists,  15-20 reps per side
Obliques,Cable Woodchoppers,  10-15 reps per side
Core,Cable Woodchoppers,  10-15 reps per side
Back (Lats Rhomboids Trapezius),T-Bar Rows,  8-12 reps
Biceps,T-Bar Rows,  8-12 reps
Quadriceps,Jump Squats,  10-15 reps
Glutes,Jump Squats,  10-15 reps
Hamstrings,Jump Squats,  10-15 reps
Calves,Jump Squats,  10-15 reps
FullBody (Explosive Movement),Medicine Ball Slams,  10-15 reps
Shoulders (Deltoids),Seated Overhead Dumbbell Press,  8-12 reps
Triceps,Seated Overhead Dumbbell Press,  8-12 reps
Quadriceps,Kettlebell Goblet Squats,  10-15 reps
Glutes,Kettlebell Goblet Squats,  10-15 reps
Hamstrings,Kettlebell Goblet Squats,  10-15 reps
Core,Kettlebell Goblet Squats,  10-15 reps
Hamstrings,Single-Leg Romanian Deadlifts,  8-12 reps per leg
Glutes,Single-Leg Romanian Deadlifts,  8-12 reps per leg
LowerBack,Single-Leg Romanian Deadlifts,  8-12 reps per leg
Core,Single-Leg Romanian Deadlifts,  8-12 reps per leg
Chest (Pectoralis major),Machine Chest Press,  10-15 reps
Shoulders,Machine Chest Press,  10-15 reps
Triceps,Machine Chest Press,  10-15 reps
Back (Latissimusdorsi),Wide-Grip Pull-Ups,  6-10 reps
Biceps,Wide-Grip Pull-Ups,  6-10 reps
Shoulders,Wide-Grip Pull-Ups,  6-10 reps
Shoulders (Deltoids),Seated Dumbbell Shoulder Press,  8-12 reps
Triceps,Seated Dumbbell Shoulder Press,  8-12 reps
Quadriceps,Dumbbell Step-Ups,  10-12 reps per leg
Glutes,Dumbbell Step-Ups,  10-12 reps per leg
Hamstrings,Dumbbell Step-Ups,  10-12 reps per leg
Core,Dumbbell Step-Ups,  10-12 reps per leg
LowerAbs,Reverse Crunches,  12-15 reps
HipFlexors,Reverse Crunches,  12-15 reps
Chest (Pectoralis major),Standing Cable Chest Flyes,  10-15 reps
Shoulders (Deltoids),Arnold Press,  8-12 reps
Triceps,Arnold Press,  8-12 reps
Trapezius,Barbell Shrugs,  10-15 reps
UpperBack,Barbell Shrugs,  10-15 reps
Triceps,Dumbbell Skull Crushers,  10-15 reps
FrontShoulders (Deltoids),Barbell Front Raises,  10-15 reps
Calves (Gastrocnemius Soleus),Leg Press Calf Raises,  12-15 reps
Hamstrings,Machine Leg Curl,  10-15 reps
Biceps,Dumbbell Hammer Curls,  10-15 reps
Forearms,Dumbbell Hammer Curls,  10-15 reps
Hamstrings,Seated Leg Curl,  10-15 reps
Calves (Gastrocnemius Soleus),Seated Calf Raises,  12-15 reps
Forearms,Barbell Wrist Curls,  12-15 reps
Abdominals,Hanging Knee Raises,  12-15 reps
HipFlexors,Hanging Knee Raises,  12-15 reps
FullBody (Cardiovascular Strength),Burpees,  10-15 reps
Legs,Box Jumps,  8-12 reps
Glutes,Box Jumps,  8-12 reps
Calves,Box Jumps,  8-12 reps
Shoulders,Battle Rope Waves,  30 seconds to 1 minute
Arms,Battle Rope Waves,  31 seconds to 1 minute
Core,Battle Rope Waves,  32 seconds to 1 minute
Quadriceps,Barbell Hack Squats,  8-12 reps
Glutes,Barbell Hack Squats,  8-12 reps
Hamstrings,Barbell Hack Squats,  8-12 reps
Back (Lats Rhomboids Trapezius),Seated Cable Rows (Wide Grip),  8-12 reps
Biceps,Seated Cable Rows (Wide Grip),  8-12 reps
Triceps,Close-Grip Bench Press,  8-12 reps
 Chest (Secondary),Close-Grip Bench Press,  8-12 reps
Back (LatsRhomboids Trapezius),Single-Arm Dumbbell Row,  8-12 reps per arm
Biceps,Single-Arm Dumbbell Row,  8-12 reps per arm
Back (Lats Rhomboids Trapezius),Reverse Grip Barbell Rows,  8-12 reps 
Biceps,Reverse Grip Barbell Rows,  8-12 reps 
Triceps,Seated Dumbbell Tricep Extensions,  10-15 reps
Shoulders (Lateral Deltoids),Dumbbell Side Lateral Raises,  10-15 reps
Calves (Gastrocnemius Soleus),Single-Leg Calf Raises,  12-15 reps per leg
LowerBack,Good Mornings,  8-12 reps
Hamstrings,Good Mornings,  8-12 reps
Glutes,Good Mornings,  8-12 reps
Quadriceps,Seated Leg Extensions,  10-15 reps
Back (Lats Rhomboids Trapezius),Pull-Up Variations (Wide Grip  Narrow Grip  Neutral Grip),  6-12 reps
Biceps,Pull-Up Variations (Wide Grip  Narrow Grip  Neutral Grip),  6-12 reps
Triceps,Cable Rope Tricep Pushdowns,  10-15 reps
Quadriceps,Dumbbell Reverse Lunges,  10-12 reps per leg
Glutes,Dumbbell Reverse Lunges,  10-12 reps per leg
Hamstrings,Dumbbell Reverse Lunges,  10-12 reps per leg
Calves (Gastrocnemius Soleus),Seated Leg Press Machine Calf Raises,  12-15 reps
Hamstrings,Seated Leg Curl Machine,  10-15 reps
Quadriceps,Kettlebell Lunges,  10-12 reps per leg
Glutes,Kettlebell Lunges,  10-12 reps per leg
Hamstrings,Kettlebell Lunges,  10-12 reps per leg
RearDelts,Dumbbell Bent-Over Reverse Flyes,  10-15 reps
UpperBack (Rhomboids),Dumbbell Bent-Over Reverse Flyes,  10-15 reps
Quadriceps,Dumbbell Front Squats,  8-12 reps
Glutes,Dumbbell Front Squats,  8-12 reps
Hamstrings,Dumbbell Front Squats,  8-12 reps
Core,Dumbbell Front Squats,  8-12 reps
Chest (Pectoralis major),Hammer Strength Chest Press Machine,  10-15 reps
Shoulders,Hammer Strength Chest Press Machine,  10-15 reps
Triceps,Hammer Strength Chest Press Machine,  10-15 reps
RearDelts,Cable Face Pulls,  12-15 reps
UpperBack (Rhomboids),Cable Face Pulls,  12-15 reps
RotatorCuff,Cable Face Pulls,  12-15 reps
Biceps,Dumbbell Preacher Curls,  10-15 reps
Glutes,Lateral Band Walks,  12-15 steps each side
HipAbductors,Lateral Band Walks,  12-15 steps each side
Shoulders (Deltoids),Seated Barbell Military Press,  8-12 reps
Triceps,Seated Barbell Military Press,  8-12 reps
Biceps,Cable Rope Hammer Curls,  10-15 reps
Brachialis,Cable Rope Hammer Curls,  10-15 reps
Forearms,Dumbbell Wrist Extensions/Flexions,  12-15 reps each movement
Quadriceps,Reverse Lunges with Dumbbells,  10-12 reps per leg
Glutes,Reverse Lunges with Dumbbells,  10-12 reps per leg
Hamstrings,Reverse Lunges with Dumbbells,  10-12 reps per leg
Core,Reverse Lunges with Dumbbells,  10-12 reps per leg
Biceps,Seated Dumbbell Bicep Curls ,  10-15 reps
Forearms,Seated Dumbbell Bicep Curls ,  10-15 reps
Calves (Gastrocnemius Soleus),Leg Press Machine Calf Raises ,  12-15 reps
Quadriceps,Single-Leg Box Squats,  8-12 reps per leg
Glutes,Single-Leg Box Squats,  8-12 reps per leg
Hamstrings,Single-Leg Box Squats,  8-12 reps per leg
Core,Single-Leg Box Squats,  8-12 reps per leg
Shoulders (Deltoids),Seated Machine Shoulder Press ,  10-15 reps
Triceps,Seated Machine Shoulder Press ,  10-15 reps
Biceps,Barbell Drag Curl ,  10-15 reps
Forearms,Barbell Drag Curl ,  10-15 reps
Shoulders (Lateral Deltoids),Cable Lateral Raises ,  12-15 reps
Abdominals,Standing Cable Crunches ,  12-15 reps
Core,Standing Cable Crunches ,  12-15 reps
Hamstrings,Stiff-Legged Deadlifts ,  8-12 reps
Glutes,Stiff-Legged Deadlifts ,  8-12 reps
LowerBack,Stiff-Legged Deadlifts ,  8-12 reps
Triceps,Cable Rope Overhead Tricep Extension ,  10-15 reps
Biceps,Dumbbell Concentration Curls ,  10-15 reps per arm
Forearms,Dumbbell Concentration Curls ,  10-15 reps per arm
Glutes,Barbell Hip Thrusts on Bench ,  10-15 reps
Hamstrings,Barbell Hip Thrusts on Bench ,  10-15 reps
Chest (Pectoralis major),Dumbbell Pullover on Stability Ball ,  10-15 reps
Lats,Dumbbell Pullover on Stability Ball ,  10-15 reps
Triceps,Dumbbell Pullover on Stability Ball ,  10-15 reps
Shoulders,Dumbbell Pullover on Stability Ball ,  10-15 reps
Forearms,Standing Dumbbell Wrist Curls ,  12-15 reps
Glutes,Kettlebell Deadlifts ,  8-12 reps
Hamstrings,Kettlebell Deadlifts ,  8-12 reps
LowerBack,Kettlebell Deadlifts ,  8-12 reps
RearDelts,Cable Bent-Over Reverse Flyes ,  10-15 reps
UpperBack (Rhomboids),Cable Bent-Over Reverse Flyes ,  10-15 reps
Hamstrings,Lying Leg Curls ,  10-15 reps
Calves (Gastrocnemius Soleus),Standing Calf Raises on Leg Press Machine ,  12-15 reps
Forearms,Dumbbell Wrist Twists ,  12-15 reps each direction
Glutes,Kettlebell Swings ,  15-20 reps
Hamstrings,Kettlebell Swings ,  15-20 reps
LowerBack,Kettlebell Swings ,  15-20 reps
Shoulders,Kettlebell Swings ,  15-20 reps
Core,Dumbbell Side Plank Hip Abduction ,  12-15 reps per side
Glutes,Dumbbell Side Plank Hip Abduction ,  12-15 reps per side
HipAbductors,Dumbbell Side Plank Hip Abduction ,  12-15 reps per side
Quadriceps,Seated Leg Press Machine ,  10-15 reps
Glutes,Seated Leg Press Machine ,  10-15 reps
Hamstrings,Seated Leg Press Machine ,  10-15 reps
RearDelts,Cable Rope Face Pulls ,  12-15 reps
UpperBack (Rhomboids),Cable Rope Face Pulls ,  12-15 reps
RotatorCuff,Cable Rope Face Pulls ,  12-15 reps
Core,Plank with Shoulder Taps ,  10-15 taps per side
Shoulders,Plank with Shoulder Taps ,  10-15 taps per side
Front Shoulders (Deltoids),Dumbbell Front Raises ,  10-15 reps
Quadriceps,Smith Machine Squats ,  8-12 reps
Glutes,Smith Machine Squats ,  8-12 reps
Hamstrings,Smith Machine Squats ,  8-12 reps
Quadriceps,Single-Leg Press ,  8-12 reps per leg
Glutes,Single-Leg Press ,  8-12 reps per leg
Hamstrings,Single-Leg Press ,  8-12 reps per leg
Glutes,Cable Leg Kickbacks ,  12-15 reps per leg
Hamstrings,Cable Leg Kickbacks ,  12-15 reps per leg
Abdominals,Decline Bench Sit-Ups ,  12-15 reps
Shoulders (Deltoids),Machine Shoulder Press ,  10-15 reps
Triceps,Machine Shoulder Press ,  10-15 reps
LowerAbs,Reverse Crunches on Bench ,  12-15 reps
HipFlexors,Reverse Crunches on Bench ,  12-15 reps
Biceps,Dumbbell Hammer Curl to Press ,  10-15 reps
Shoulders,Dumbbell Hammer Curl to Press ,  10-15 reps
Triceps,Cable Tricep Kickbacks ,  12-15 reps
RearDelts,Standing Reverse Dumbbell Flyes ,  10-15 reps
UpperBack (Rhomboids),Standing Reverse Dumbbell Flyes ,  10-15 reps
Glutes,Single-Leg Glute Bridge ,  10-12 reps per leg
Hamstrings,Single-Leg Glute Bridge ,  10-12 reps per leg
LowerBack,Single-Leg Glute Bridge ,  10-12 reps per leg
LowerAbs,Leg Raises on Captain's Chair ,  12-15 reps
HipFlexors,Leg Raises on Captain's Chair ,  12-15 reps
Hamstrings,Dumbbell Deadlifts ,  8-12 reps
Glutes,Dumbbell Deadlifts ,  8-12 reps
LowerBack,Dumbbell Deadlifts ,  8-12 reps
Calves (Gastrocnemius Soleus),Seated Machine Leg Press Calf Raises ,  12-15 reps
LowerBack,Hyperextensions ,  10-15 reps
Glutes,Hyperextensions ,  10-15 reps
Hamstrings,Hyperextensions ,  10-15 reps
Biceps,Machine Bicep Curl ,  10-15 reps
Back (Lats Rhomboids Trapezius),Single-Arm Cable Rows ,  10-15 reps per arm
Biceps,Single-Arm Cable Rows ,  10-15 reps per arm
Quadriceps,Machine Leg Press ,  10-15 reps
Glutes,Machine Leg Press ,  10-15 reps
Hamstrings,Machine Leg Press ,  10-15 reps
Hamstrings,Single-Leg Romanian Deadlifts with Dumbbells ,  8-12 reps per leg
Glutes,Single-Leg Romanian Deadlifts with Dumbbells ,  8-12 reps per leg
LowerBack,Single-Leg Romanian Deadlifts with Dumbbells ,  8-12 reps per leg
Core,Single-Leg Romanian Deadlifts with Dumbbells ,  8-12 reps per leg
UpperChest (Clavicularportion of Pectoralismajor),Incline Dumbbell Bench Press ,  8-12 reps
Shoulders,Incline Dumbbell Bench Press ,  8-12 reps
Triceps,Incline Dumbbell Bench Press ,  8-12 reps
Triceps,Dumbbell Overhead Tricep Extension ,  10-15 reps
Back (Lats Rhomboids Trapezius),Smith Machine Bent-Over Rows ,  8-12 reps
Biceps,Smith Machine Bent-Over Rows ,  8-12 reps
Shoulders (Deltoids),Machine Shoulder Lateral Raises ,  10-15 reps
Quadriceps,Barbell Step-Ups ,  10-12 reps per leg
Glutes,Barbell Step-Ups ,  10-12 reps per leg
Hamstrings,Barbell Step-Ups ,  10-12 reps per leg
Hamstrings,Seated Leg Curl Machine ,  10-15 reps
Calves (Gastrocnemius Soleus),Seated Calf Raises Machine ,  12-15 reps
Back (Lats Rhomboids Trapezius),Close-Grip Lat Pulldowns ,  8-12 reps
Biceps,Close-Grip Lat Pulldowns ,  8-12 reps
RearDelts,Dumbbell Rear Delt Flyes ,  10-15 reps
UpperBack (Rhomboids),Dumbbell Rear Delt Flyes ,  10-15 reps
Calves (Gastrocnemius Soleus),Leg Press Machine Calf Raises ,  12-15 reps
Hamstrings,Lying Leg Curl Machine ,  10-15 reps
Quadriceps,Seated Leg Extension Machine ,  10-15 reps
Abdominals,Cable Crunches with Rope Attachment ,  12-15 reps
Core,Cable Crunches with Rope Attachment ,  12-15 reps
Shoulders (Lateral Deltoids),Dumbbell Side Lateral Raises on Incline Bench ,  10-15 reps
Biceps,Cable Rope Hammer Curls ,  10-15 reps
Brachialis,Cable Rope Hammer Curls ,  10-15 reps
Chest (Pectoralis major),Seated Machine Chest Press ,  10-15 reps
Shoulders,Seated Machine Chest Press ,  10-15 reps
Triceps,Seated Machine Chest Press ,  10-15 reps
Calves (Gastrocnemius Soleus),Machine Leg Press Calf Raises ,  12-15 reps
Triceps,Cable Rope Tricep Pushdowns with Overhand Grip ,  10-15 reps
Legs,Single-Leg Box Jumps ,  8-12 reps per leg
Glutes,Single-Leg Box Jumps ,  8-12 reps per leg
Calves,Single-Leg Box Jumps ,  8-12 reps per leg
Triceps,Barbell Bench Press (Close Grip) ,  8-12 reps
Chest (Secondary),Barbell Bench Press (Close Grip) ,  8-12 reps
Shoulders (Deltoids),Single-Arm Dumbbell Shoulder Press ,  8-12 reps per arm
Calves (Gastrocnemius Soleus),Seated Leg Press Machine Calf Raises ,  12-15 reps
Obliques,Cable Woodchoppers (High to Low) ,  10-15 reps per side
Core,Cable Woodchoppers (High to Low) ,  10-15 reps per side
Forearms,Barbell Wrist Extensions ,  12-15 reps
Quadriceps,Dumbbell Walking Lunges ,  10-12 reps per leg
Glutes,Dumbbell Walking Lunges ,  10-12 reps per leg
Hamstrings,Dumbbell Walking Lunges ,  10-12 reps per leg
Core,Dumbbell Walking Lunges ,  10-12 reps per leg
LowerBack,Hyperextension Bench Reverse Hyperextensions ,  10-15 reps
Glutes,Hyperextension Bench Reverse Hyperextensions ,  10-15 reps
Hamstrings,Hyperextension Bench Reverse Hyperextensions ,  10-15 reps
Biceps,Cable Bicep Curl ,  10-15 reps
Glutes,Single-Leg Glute Bridge with Bench ,  10-12 reps per leg
Hamstrings,Single-Leg Glute Bridge with Bench ,  10-12 reps per leg
LowerBack,Single-Leg Glute Bridge with Bench ,  10-12 reps per leg
Forearms,Seated Dumbbell Palms-Up Wrist Curls ,  12-15 reps
RearDelts,Cable Face Pulls with Rope Attachment ,  12-15 reps
UpperBack (Rhomboids),Cable Face Pulls with Rope Attachment ,  12-15 reps
RotatorCuff,Cable Face Pulls with Rope Attachment ,  12-15 reps
Glutes,Dumbbell Frog Pumps ,  12-15 reps
Hamstrings,Dumbbell Frog Pumps ,  12-15 reps
LowerBack,Dumbbell Frog Pumps ,  12-15 reps
Biceps,Seated Dumbbell Hammer Curls ,  10-15 reps
Forearms,Seated Dumbbell Hammer Curls ,  10-15 reps
Chest (Pectoralis major),Dumbbell Pullover on Flat Bench ,  10-15 reps
Lats,Dumbbell Pullover on Flat Bench ,  10-15 reps
Triceps,Dumbbell Pullover on Flat Bench ,  10-15 reps
Shoulders,Dumbbell Pullover on Flat Bench ,  10-15 reps
Triceps,Cable Overhead Tricep Extension with Rope Attachment ,  10-15 reps
Quadriceps,Dumbbell Bulgarian Split Squats ,  8-12 reps per leg
Glutes,Dumbbell Bulgarian Split Squats ,  8-12 reps per leg
Hamstrings,Dumbbell Bulgarian Split Squats ,  8-12 reps per leg
Core,Dumbbell Bulgarian Split Squats ,  8-12 reps per leg
Biceps,Seated Dumbbell Incline Curl ,  10-15 reps
Forearms,Seated Dumbbell Incline Curl ,  10-15 reps
Hamstrings,Single-Leg Deadlifts with Barbell ,  8-12 reps per leg
Glutes,Single-Leg Deadlifts with Barbell ,  8-12 reps per leg
LowerBack,Single-Leg Deadlifts with Barbell ,  8-12 reps per leg
Core,Single-Leg Deadlifts with Barbell ,  8-12 reps per leg
Triceps,Cable Rope Tricep Pushdowns with Underhand Grip ,  10-15 reps
UpperChest (Clavicularportion of Pectoralismajor),Reverse Grip Barbell Bench Press ,  8-12 reps
Triceps,Reverse Grip Barbell Bench Press ,  8-12 reps
Calves (Gastrocnemius Soleus),Seated Leg Press Machine Calf Raises (Single Leg) ,  12-15 reps per leg
Quadriceps,Dumbbell Step-Ups with Knee Raise ,  10-12 reps per leg
Glutes,Dumbbell Step-Ups with Knee Raise ,  10-12 reps per leg
Hamstrings,Dumbbell Step-Ups with Knee Raise ,  10-12 reps per leg
Core,Dumbbell Step-Ups with Knee Raise ,  10-12 reps per leg
RotatorCuff (External Rotators),Seated Dumbbell External Rotation ,  12-15 reps per arm
Quadriceps,Barbell Hack Squats ,  8-12 reps
Glutes,Barbell Hack Squats ,  8-12 reps
Hamstrings,Barbell Hack Squats ,  8-12 reps
RearDelts,Cable Reverse Flyes ,  10-15 reps
UpperBack (Rhomboids),Cable Reverse Flyes ,  10-15 reps
Quadriceps,Dumbbell Lateral Lunges ,  10-12 reps per leg
Glutes,Dumbbell Lateral Lunges ,  10-12 reps per leg
Adductors,Dumbbell Lateral Lunges ,  10-12 reps per leg
Abductors,Dumbbell Lateral Lunges ,  10-12 reps per leg
Hamstrings,Dumbbell Lateral Lunges ,  10-12 reps per leg
Biceps,Incline Dumbbell Curl ,  10-15 reps
Back (Lats Rhomboids Trapezius),Seated Machine Row ,  8-12 reps
Biceps,Seated Machine Row ,  8-12 reps
LowerAbs,Reverse Crunches on Stability Ball ,  12-15 reps
HipFlexors,Reverse Crunches on Stability Ball ,  12-15 reps
Quadriceps,Single-Leg Leg Press ,  8-12 reps per leg
Glutes,Single-Leg Leg Press ,  8-12 reps per leg
Hamstrings,Single-Leg Leg Press ,  8-12 reps per leg
Biceps,Cable Rope Hammer Curls with Neutral Grip,  10-15 reps
Brachialis,Cable Rope Hammer Curls with Neutral Grip,  10-15 reps
Quadriceps,Seated Machine Leg Extension ,  10-15 reps
Abdominals,Kneeling Cable Crunches ,  12-15 reps
Core,Kneeling Cable Crunches ,  12-15 reps
Quadriceps,Dumbbell Front Squat ,  8-12 reps
Glutes,Dumbbell Front Squat ,  8-12 reps
Hamstrings,Dumbbell Front Squat ,  8-12 reps
Core,Dumbbell Front Squat ,  8-12 reps
Calves (Gastrocnemius Soleus),Seated Calf Raises ,  12-15 reps
Biceps,Reverse Grip Barbell Curl ,  10-15 reps
Forearms,Reverse Grip Barbell Curl ,  10-15 reps
Trapezius,Seated Dumbbell Shrugs ,  10-15 reps
Quadriceps ,Pistol Squats,6-10 reps per leg
Glutes ,Pistol Squats,6-10 reps per leg
Hamstrings ,Pistol Squats,6-10 reps per leg
Core,Pistol Squats,6-10 reps per leg
Triceps,Cable Rope Overhead Tricep Extension with Pronated Grip,10-15 reps
